Time,Data,Simulation
160.89,0.7000000000000002,0.0
160.892,0.7000000000000002,0.0
160.894,0.6000000000000001,0.0
160.896,0.6000000000000001,0.0
160.898,0.7000000000000002,0.0
160.9,0.6000000000000001,0.0
160.902,0.6000000000000001,0.0
160.904,0.6000000000000001,0.0
160.906,0.6000000000000001,0.0
160.908,0.5,0.0
160.91,0.5,0.0
160.912,0.5,0.0
160.914,0.6000000000000001,0.0
160.916,0.5,0.0
160.918,0.5,0.0
160.92,0.5,0.0
160.922,0.3999999999999999,0.0
160.924,0.3999999999999999,0.0
160.926,0.3999999999999999,0.0
160.928,0.3999999999999999,0.0
160.93,0.3999999999999999,0.0
160.932,0.3999999999999999,0.0
160.934,0.3999999999999999,0.0
160.936,0.3999999999999999,0.0
160.938,0.3999999999999999,0.0
160.94,0.2999999999999998,0.0
160.942,0.2999999999999998,0.0
160.944,0.2999999999999998,0.0
160.946,0.2999999999999998,0.0
160.948,0.2999999999999998,0.0
160.95,0.3999999999999999,0.0
160.952,0.2999999999999998,0.0
160.954,0.2999999999999998,0.0
160.956,0.2999999999999998,0.0
160.958,0.2999999999999998,0.0
160.96,0.2999999999999998,0.0
160.962,0.2999999999999998,0.0
160.964,0.2999999999999998,0.0
160.966,0.2999999999999998,0.0
160.968,0.2999999999999998,0.09455386357415523
160.97,0.3999999999999999,0.2318083452573935
160.972,0.2999999999999998,0.36815121202902057
160.974,0.2999999999999998,0.5035557376506141
160.976,0.2999999999999998,0.6379953810931107
160.978,0.2999999999999998,0.7714437917302364
160.98,0.2999999999999998,0.9038748145111226
160.982,0.3999999999999999,1.0352624950934681
160.984,0.3999999999999999,1.1655810849196033
160.986,0.3999999999999999,1.294805046268338
160.988,0.3999999999999999,1.422909057264332
160.99,0.5,1.5498680168278254
160.992,0.6000000000000001,1.6756570495968013
160.994,0.6000000000000001,1.8002515108037629
160.996,0.7000000000000002,1.9236269910903976
160.998,0.7999999999999998,2.0457593212914347
161.0,0.8999999999999999,2.166624577170234
161.002,1.0,2.2861990840899913
161.004,1.1,2.4044594216508837
161.006,1.1,2.5213824282762323
161.008,1.2000000000000002,2.6369452057320704
161.01,1.4,2.751125123609524
161.012,1.5,2.8638998237535445
161.014,1.5999999999999996,2.9752472246230175
161.016,1.7000000000000002,3.085145525610577
161.018,1.9000000000000004,3.1935732113062745
161.02,2.0,3.3005090556906533
161.022,2.0999999999999996,3.4059321262845716
161.024,2.2,3.5098217882404343
161.026,2.3,3.6121577083610323
161.028,2.4000000000000004,3.712919859072241
161.03,2.5999999999999996,3.812088522334784
161.032,2.7,3.909644293481981
161.034,2.8,4.005568085008493
161.036,3.0,4.099841130295973
161.038,3.0999999999999996,4.1924449872631495
161.04,3.2,4.283361541964196
161.042,3.3,4.372573012121918
161.044,3.4000000000000004,4.460061950583986
161.046,3.5999999999999996,4.545811248724837
161.048,3.7,4.629804139780415
161.05,3.7,4.712024202104724
161.052,3.8,4.792455362369517
161.054,3.9000000000000004,4.871081898694984
161.056,4.0,4.947888443701145
161.058,4.1,5.022859987499957
161.06,4.2,5.095981880616705
161.062,4.4,5.167239836831132
161.064,4.5,5.236619935956961
161.066,4.6,5.304108626549114
161.068,4.7,5.3696927285298495
161.07,4.8,5.433359435751071
161.072,4.9,5.495096318482887
161.074,4.9,5.554891325820391
161.076,5.0,5.612732788024521
161.078,5.1,5.668609418787834
161.08,5.1,5.722510317417959
161.082,5.3,5.7744249709531585
161.084,5.3,5.824343256201567
